Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Ireland,IRL,2001,16.42,35.93
Ireland,IRL,2002,16.81,35.14
Israel,ISR,1975,7.07,26.18
Israel,ISR,1976,7.84,26.2
Israel,ISR,1977,8.62,25.61
Israel,ISR,1978,8.21,25.37
Israel,ISR,1979,8.18,26.13
Israel,ISR,1980,8.83,27.21
Israel,ISR,1981,8.11,23.28
Israel,ISR,1982,7.68,25.23
Israel,ISR,1983,7.85,24.09
Israel,ISR,1984,7.97,25.17
Israel,ISR,1985,7.73,25.92
Israel,ISR,1986,8.36,24.44
Israel,ISR,1987,8.25,23.5
Israel,ISR,1988,7.75,24.06
Israel,ISR,1989,8.42,26.48
Israel,ISR,1990,8.96,28.3
Israel,ISR,1991,8.12,27.04
Israel,ISR,1992,8.04,26.03
Israel,ISR,1993,9.29,29.51
Israel,ISR,1994,8.94,28.7
Israel,ISR,1995,9.77,27.34
Israel,ISR,1996,7.83,26.8
Israel,ISR,1997,8.79,26.61
Israel,ISR,1998,7.71,27.37
Israel,ISR,1999,8.08,27.23
Israel,ISR,2000,9.51,26.8
Israel,ISR,2001,8.88,27.07
Israel,ISR,2002,9.11,28.12
Italy,ITA,1951,2.57,9.45
Italy,ITA,1952,2.68,10.77
Italy,ITA,1953,2.92,12.05
Italy,ITA,1954,2.97,13.96
Italy,ITA,1955,3.32,14.7
Italy,ITA,1956,3.47,16.68
Italy,ITA,1957,3.43,17.77
Italy,ITA,1958,3.57,18.47
Italy,ITA,1959,3.42,19.78
Italy,ITA,1960,4.01,21.65
Italy,ITA,1961,4,22.82
Italy,ITA,1962,3.93,24.3
Italy,ITA,1963,4.22,25.13
Italy,ITA,1964,4.38,28.04
Italy,ITA,1965,4.42,29.23
Italy,ITA,1966,4.73,30.57
Italy,ITA,1967,4.54,32.28
Italy,ITA,1968,4.57,34.46
Italy,ITA,1969,4.71,36.21
Italy,ITA,1970,4.64,36.02
Italy,ITA,1971,4.55,38.63
Italy,ITA,1972,4.92,39.66
Italy,ITA,1973,5.15,41.11
Italy,ITA,1974,5.22,43.21
Italy,ITA,1975,5.37,44.79
Italy,ITA,1976,5.64,47.1
Italy,ITA,1977,5.87,48.53
Italy,ITA,1978,5.64,50.44
Italy,ITA,1979,5.95,52.35
Italy,ITA,1980,6.07,55.13
Italy,ITA,1981,6.26,54.76
Italy,ITA,1982,6.32,56.85
Italy,ITA,1983,6.62,58.23
Italy,ITA,1984,6.81,58.26
Italy,ITA,1985,6.89,59.34
Italy,ITA,1986,7.29,58.04
Italy,ITA,1987,7.19,59.78
Italy,ITA,1988,7.31,59.35
Italy,ITA,1989,7.33,57.36
Italy,ITA,1990,7.27,56.13
Italy,ITA,1991,7.23,55.76
Italy,ITA,1992,7.82,55.54
Italy,ITA,1993,7.68,55.02
Italy,ITA,1994,7.77,54.07
Italy,ITA,1995,7.87,52.3
Italy,ITA,1996,8,51.15
Italy,ITA,1997,7.83,50.14
Italy,ITA,1998,8.02,49.21
Italy,ITA,1999,7.91,48.2
Italy,ITA,2000,8.28,46.03
Italy,ITA,2001,8.38,45.36
Italy,ITA,2002,8.75,44.23
Jamaica,JAM,2002,5.5,22.1
Japan,JPN,1950,0.95,2.69
Japan,JPN,1951,1.1,2.69
Japan,JPN,1952,1.36,3.48
Japan,JPN,1953,1.41,3.86
Japan,JPN,1954,1.84,4.89
Japan,JPN,1955,2.12,5.77
Japan,JPN,1956,2.52,6.86
Japan,JPN,1957,2.68,7.35
Japan,JPN,1958,3.26,8.23
Japan,JPN,1959,3.33,9.15
Japan,JPN,1960,3.52,9.8
Japan,JPN,1961,3.95,10.35
Japan,JPN,1962,4.13,11.15
Japan,JPN,1963,4.2,11.95
Japan,JPN,1964,4.39,12.51
Japan,JPN,1965,4.66,12.99
Japan,JPN,1966,4.94,13.73
Japan,JPN,1967,4.91,14.42
Japan,JPN,1968,5,14.9
Japan,JPN,1969,5.25,15.66
Japan,JPN,1970,5.17,15.86
Japan,JPN,1971,5.19,16.56
Japan,JPN,1972,5.6,17.69
Japan,JPN,1973,5.62,18.02
Japan,JPN,1974,5.62,18.89
Japan,JPN,1975,5.93,19.59
Japan,JPN,1976,6.21,20.44
Japan,JPN,1977,6.37,21.72
Japan,JPN,1978,6.69,22.43
Japan,JPN,1979,6.69,23.67
Japan,JPN,1980,7.07,24.27
Japan,JPN,1981,7.19,25.34
Japan,JPN,1982,7.45,25.78
Japan,JPN,1983,7.49,26.45
