Scenario,Area,Year,Age,Education,Population
SSP2,World,1975,85--89,Total,7718.2
SSP2,World,1980,85--89,Total,9141.5
SSP2,World,1985,85--89,Total,11142.1
SSP2,World,1990,85--89,Total,14503.8
SSP2,World,1995,85--89,Total,17878.4
SSP2,World,2000,85--89,Total,21362.4
SSP2,World,2005,85--89,Total,23117.5
SSP2,World,2010,85--89,Total,30442
SSP2,World,2015,85--89,Total,37295.4
SSP2,World,2020,85--89,Total,42914.4
SSP2,World,2025,85--89,Total,50476
SSP2,World,2030,85--89,Total,56950.4
SSP2,World,2035,85--89,Total,74461.1
SSP2,World,2040,85--89,Total,96367.7
SSP2,World,2045,85--89,Total,112360.4
SSP2,World,2050,85--89,Total,137016.3
SSP2,World,2055,85--89,Total,160803.2
SSP2,World,2060,85--89,Total,177939.9
SSP2,World,2065,85--89,Total,188816.4
SSP2,World,2070,85--89,Total,217332.2
SSP2,World,2075,85--89,Total,253507.4
SSP2,World,2080,85--89,Total,256502.4
SSP2,World,2085,85--89,Total,259390.4
SSP2,World,2090,85--89,Total,277847.5
SSP2,World,2095,85--89,Total,306014.9
SSP2,World,2100,85--89,Total,333074.9
SSP2,World,1950,90--94,Total,936.8
SSP2,World,1955,90--94,Total,926.2
SSP2,World,1960,90--94,Total,986.6
SSP2,World,1965,90--94,Total,1286.8
SSP2,World,1970,90--94,Total,1563.5
SSP2,World,1975,90--94,Total,1977.8
SSP2,World,1980,90--94,Total,2588.4
SSP2,World,1985,90--94,Total,3189.9
SSP2,World,1990,90--94,Total,4056.4
SSP2,World,1995,90--94,Total,5413.6
SSP2,World,2000,90--94,Total,6863.1
SSP2,World,2005,90--94,Total,8558
SSP2,World,2010,90--94,Total,9794.6
SSP2,World,2015,90--94,Total,13475.5
SSP2,World,2020,90--94,Total,17010.8
SSP2,World,2025,90--94,Total,20250.8
SSP2,World,2030,90--94,Total,24554.2
SSP2,World,2035,90--94,Total,28862.4
SSP2,World,2040,90--94,Total,39181.7
SSP2,World,2045,90--94,Total,51755.9
SSP2,World,2050,90--94,Total,62403.6
SSP2,World,2055,90--94,Total,78411.4
SSP2,World,2060,90--94,Total,94617.5
SSP2,World,2065,90--94,Total,107759.6
SSP2,World,2070,90--94,Total,117189.3
SSP2,World,2075,90--94,Total,138055.7
SSP2,World,2080,90--94,Total,164889.1
SSP2,World,2085,90--94,Total,170828.4
SSP2,World,2090,90--94,Total,176132.1
SSP2,World,2095,90--94,Total,192459.2
SSP2,World,2100,90--94,Total,216855.4
SSP2,World,1950,95--99,Total,193.3
SSP2,World,1955,95--99,Total,167.7
SSP2,World,1960,95--99,Total,168.8
SSP2,World,1965,95--99,Total,184.6
SSP2,World,1970,95--99,Total,252.7
SSP2,World,1975,95--99,Total,318.4
SSP2,World,1980,95--99,Total,440.4
SSP2,World,1985,95--99,Total,605.9
SSP2,World,1990,95--99,Total,782
SSP2,World,1995,95--99,Total,1004.5
SSP2,World,2000,95--99,Total,1361.8
SSP2,World,2005,95--99,Total,1814.6
SSP2,World,2010,95--99,Total,2424.2
SSP2,World,2015,95--99,Total,2916.4
SSP2,World,2020,95--99,Total,4188.2
